pageid,qid,P21,P27,P106,label_en
81227821,Q136028808,['Q6581072'],['Q29'],['Q937857'],Aïcha Cámara Cámara
81227823,Q136409354,['Q6581097'],[],['Q19204627'],Vandrevius Jacobs
81227893,Q136409352,['Q6581072'],['Q30'],['Q937857'],Natalie Chudowsky
81227898,Q136409350,['Q6581097'],[],[],William H. Bright
81227908,Q136409346,['Q6581072'],[],"['Q2732142', 'Q170790']",Po-Ling Loh
81227988,Q123577405,['Q6581072'],[],['Q193391'],Nana Yuliana
81227992,Q136410919,['Q6581072'],[],['Q4009406'],Zofia Kałucka
81228154,Q136409443,['Q6581097'],[],['Q4009406'],Mohammed Ayade
81228171,Q136409441,['Q6581097'],[],[],Emmanuel Umar
81228312,Q123678970,['Q6581097'],['Q238'],"['Q82955', 'Q937857']",Matteo Rossi
81228389,Q3767901,['Q6581097'],['Q736727'],"['Q250867', 'Q611644']",Giovanni Pecci
81228570,Q136409579,['Q6581072'],[],[],Katrina Foster
81228605,Q136409576,['Q6581097'],[],[],"Eduardo Peralta, Jr."
81228630,Q136409693,['Q6581097'],['Q30'],['Q105186'],
81228665,Q136410920,['Q6581072'],[],['Q177220'],Kishwar Sultan
81228732,Q136409566,['Q6581097'],[],['Q193391'],Priyo Iswanto
81228880,Q75791247,['Q6581097'],['Q28'],[],"Anton II, Prince Esterházy"
81229013,Q136409681,['Q6581072'],[],[],Emily Goodridge Grey
81229066,Q96761756,['Q6581097'],[],"['Q6673651', 'Q36180', 'Q201788', 'Q49757']",Abdul Salam Nadwi
81229188,Q136409776,['Q6581072'],[],[],Geraldine Fiel-Macaraig
81229251,Q136409775,['Q6581072'],[],['Q16533'],Perpetua Atal-Paño
81229252,Q136409770,['Q6581097'],[],"['Q1028181', 'Q1281618']","Edward ""Ted"" Bullmore"
81229257,Q12805768,['Q6581097'],"['Q215', 'Q38', 'Q391980', 'Q191077', 'Q533534']","['Q49757', 'Q36180', 'Q333634', 'Q6051619', 'Q5758653']",Vinko Beličič
81229261,Q20570452,['Q6581097'],[],['Q201788'],Moinuddin Ahmad Nadwi
81229267,Q136409911,['Q6581097'],[],"['Q5716684', 'Q28971125']",Louie Conn
81229316,Q136409910,['Q6581097'],[],[],Ruben Reynaldo Roxas
81229454,Q136409906,['Q6581072'],[],[],Ashalata Biswas
81229473,Q136409905,['Q6581097'],[],[],S. Pugazhenthi
