pageid,category,is_bio_like
81227821,Category:2006 births,True
81227821,Category:21st-century Spanish sportswomen,False
81227821,Category:FC Barcelona Femení players,False
81227821,Category:Liga F players,False
81227821,Category:Living people,True
81227821,Category:People from Sabadell,True
81227821,Category:Spain women's youth international footballers,True
81227821,Category:Spanish women's footballers,True
81227821,Category:Women's association football defenders,False
81227823,Category:2004 births,True
81227823,Category:American football wide receivers,False
81227823,Category:Florida State Seminoles football players,False
81227823,Category:Living people,True
81227823,"Category:Players of American football from Fort Pierce, Florida",False
81227823,Category:South Carolina Gamecocks football players,False
81227839,Category:1915 crime drama films,False
81227839,Category:1915 films,False
81227839,Category:British black-and-white films,False
81227839,Category:British crime drama films,False
81227839,Category:British silent feature films,False
81227839,Category:Films directed by George Loane Tucker,False
81227845,Category:Cicadas of Australia,False
81227845,Category:Cicadidae stubs,False
81227845,Category:Drymopsalta,False
81227845,Category:Insects described in 2005,False
81227845,Category:Insects of Queensland,False
81227845,Category:Taxa named by Anthony Ewart,False
81227872,Category:Draft articles,False
81227893,Category:2008 births,True
81227893,Category:21st-century American sportswomen,False
81227893,Category:American people of Dominican Republic descent,False
81227893,Category:American women's soccer players,False
81227893,Category:Dominican Republic women's footballers,True
81227893,Category:Living people,True
81227893,Category:Soccer players from New York (state),False
81227893,Category:United States women's youth international soccer players,False
81227893,Category:Women's association football defenders,False
81227898,Category:1863 births,True
81227898,Category:1933 deaths,True
81227898,Category:20th-century mayors of places in New Jersey,False
81227898,Category:20th-century members of the New Jersey Legislature,False
81227898,Category:Mayors of places in New Jersey,False
81227898,Category:New Jersey Republicans,False
81227898,Category:New Jersey sheriffs,False
81227898,"Category:People from Wildwood, New Jersey",True
81227898,"Category:Politicians from Cape May County, New Jersey",True
81227898,Category:Republican Party New Jersey state senators,False
81227898,"Category:Sheriffs of Cape May County, New Jersey",False
81227899,Category:Brazil transport stubs,False
81227899,Category:Brazilian building and structure stubs,False
81227899,Category:Line 4 (Rio de Janeiro),False
81227899,Category:Metrô Rio stations,False
81227899,Category:Railway stations in Brazil opened in 2016,False
81227899,Category:South American railway station stubs,False
81227899,Category:South American rapid transit stubs,False
81227908,Category:1987 births,True
81227908,Category:American people of Singaporean descent,False
81227908,Category:American statisticians,False
81227908,Category:American women statisticians,False
81227908,Category:California Institute of Technology alumni,False
81227908,Category:Cambridge mathematicians,False
81227908,"Category:Fellows of St John's College, Cambridge",False
81227908,Category:Fellows of the Institute of Mathematical Statistics,False
81227908,Category:Living people,True
81227908,Category:Professors of the University of Cambridge,False
81227908,"Category:University of California, Berkeley alumni",False
81227908,Category:University of Wisconsin–Madison faculty,False
81227908,Category:Wharton School of the University of Pennsylvania faculty,False
81227933,Category:5-HT4 agonists,False
81227933,Category:Drugs not assigned an ATC code,False
81227933,Category:Experimental drugs developed for schizophrenia,False
81227933,Category:Experimental drugs for Alzheimer's disease,False
81227933,Category:Indazoles,False
81227933,Category:Isopropyl compounds,False
81227933,Category:Methoxy compounds,False
81227933,Category:Nervous system drug stubs,False
81227933,Category:Nootropics,False
81227933,Category:Oxadiazoles,False
81227933,Category:Piperidines,False
81227933,Category:Propoxy compounds,False
81227988,Category:1963 births,True
81227988,Category:21st-century Indonesian women,False
81227988,Category:Ambassadors of Indonesia to Cuba,False
81227988,Category:Ambassadors of Indonesia to Dominica,False
81227988,Category:Ambassadors of Indonesia to Haiti,False
81227988,Category:Ambassadors of Indonesia to Jamaica,False
81227988,Category:Ambassadors of Indonesia to the Bahamas,False
81227988,Category:Indonesian educators,False
81227988,Category:Living people,True
81227988,Category:Macquarie University alumni,False
81227988,Category:People from Jakarta,True
81227988,Category:University of Indonesia alumni,False
81227988,Category:University of Santo Tomas alumni,False
81227988,Category:Women ambassadors of Indonesia,False
81227992,Category:2002 births,True
81227992,Category:21st-century Polish sportswomen,False
81227992,Category:Living people,True
81227992,Category:Medalists at the World Para Athletics Championships,False
81227992,Category:Medalists at the World Para Athletics European Championships,False
81227992,Category:Polish athletics biography stubs,False
81227992,Category:Polish female sprinters,False
81228003,Category:1850s painting stubs,False
81228003,Category:1856 paintings,False
81228003,Category:Genre paintings,False
81228003,Category:Oil on canvas paintings,False
81228003,Category:Paintings in the Tate galleries,False
81228038,Category:Surnames,False
81228091,Category:Japanese-American cuisine,False
81228091,Category:Japanese restaurants in the United States,False
81228091,Category:Restaurant chains in the United States,False
81228091,Category:Steakhouses in the United States,False
81228094,Category:2020s British television series premieres,False
81228094,Category:2024 British television episodes,False
81228094,Category:Sweetpea (TV series) episode redirects to lists,False
81228119,Category:Amines,False
81228119,Category:Carboxamides,False
81228119,Category:Dicarboxylic acids,False
81228119,Category:Drugs not assigned an ATC code,False
81228119,Category:Experimental drugs developed for schizophrenia,False
81228119,Category:Experimental psychiatric drugs,False
81228119,Category:Heterocyclic compounds with 2 rings,False
81228119,Category:MGlu2 receptor agonists,False
81228119,Category:MGlu3 receptor agonists,False
81228119,Category:Methylthio compounds,False
81228119,Category:Nervous system drug stubs,False
81228119,Category:Prodrugs,False
81228119,Category:Sulfones,False
81228119,Category:Sulfur heterocycles,False
81228146,Category:European national youth association football teams,False
81228146,Category:Kosovo national youth football teams,False
81228146,Category:Set index articles on sports,False
81228150,Category:Populated places in Buenos Aires Province,False
81228154,Category:1999 births,True
81228154,Category:21st-century Iraqi sportsmen,False
81228154,Category:Asian Para Games medalists in athletics (track and field),False
81228154,Category:Asian Para Games silver medalists for Iraq,False
81228154,Category:Asian athletics biography stubs,False
81228154,Category:Athletes (track and field) at the 2024 Summer Paralympics,False
81228154,Category:Iraqi male sprinters,False
81228154,Category:Iraqi sportspeople stubs,False
81228154,Category:Living people,True
81228154,Category:Medalists at the 2022 Asian Para Games,False
81228154,Category:Medalists at the World Para Athletics Championships,False
81228154,Category:Paralympic athletes for Iraq,False
81228171,Category:1975 births,True
81228171,Category:Living people,True
81228171,Category:Nigerian Defence Academy alumni,False
81228171,Category:People from Niger State,True
81228182,Category:2024 in Australian rugby league,False
81228182,Category:2024 in women's rugby league,False
81228182,Category:October 2024 sports events in Australia,False
81228213,Category:1971 NCAA University Division independents football season,False
81228213,Category:1971 in sports in Ohio,False
81228213,Category:College football 1971 season stubs,False
81228213,Category:Dayton Flyers football seasons,False
81228245,Category:Draft articles,False
81228269,Category:2024 establishments in Taiwan,False
81228269,Category:Shopping malls established in 2024,False
81228269,Category:Shopping malls in Taipei,False
81228269,Category:Taiwanese shopping mall stubs,False
81228269,Category:Xinyi Special District,False
81228285,Category:Draft articles,False
81228312,Category:1986 births,True
81228312,Category:Captains regent of San Marino,False
81228312,Category:FC Domagnano players,False
81228312,Category:Living people,True
81228312,Category:Members of the Grand and General Council,False
81228312,Category:Men's association football midfielders,False
81228312,Category:Party of Socialists and Democrats politicians,True
81228312,Category:SC Faetano players,False
81228312,Category:SP Tre Penne players,False
81228312,Category:Sammarinese men's footballers,True
81228329,Category:1967 singles,False
81228329,Category:1967 songs,False
81228329,Category:Cat Stevens songs,False
81228329,Category:Deram Records singles,False
81228329,Category:Orchestral pop songs,False
81228329,Category:Song recordings produced by Mike Hurst (producer),False
81228329,Category:Songs written by Cat Stevens,False
81228338,Category:Abandoned drugs,False
81228338,Category:Carboxamides,False
81228338,Category:Dicarboxylic acids,False
81228338,Category:Drugs not assigned an ATC code,False
81228338,Category:Experimental anxiolytics,False
81228338,Category:MGlu2 receptor agonists,False
81228338,Category:MGlu3 receptor agonists,False
81228338,Category:Nervous system drug stubs,False
81228338,Category:Prodrugs,False
81228341,Category:Draft articles,False
81228352,Category:Labor relations in California,False
81228352,Category:State agencies of California,False
81228358,Category:2020 singles,False
81228358,Category:2020 songs,False
81228358,Category:Songs in Italian,False
81228358,Category:Ultimo (singer) songs,False
81228389,Category:1426 deaths,True
81228389,Category:15th-century Italian Roman Catholic bishops,True
81228389,Category:Bishops appointed by Pope Martin V,True
81228389,Category:Bishops of Grosseto,True
81228389,Category:Clergy from Siena,False
81228395,Category:Michigan stubs,False
81228395,Category:Restaurants in Detroit,False
81228396,Category:Draft articles,False
81228416,Category:Individual cats in the United States,False
81228416,"Category:University of California, Davis faculty",False
81228428,Category:2008 establishments in Texas,False
81228428,Category:Food trucks in the United States,False
81228428,"Category:Restaurants in Austin, Texas",False
81228428,Category:Texas stubs,False
81228521,Category:2019 singles,False
81228521,Category:2019 songs,False
81228521,Category:Songs in Italian,False
81228521,Category:Ultimo (singer) songs,False
81228556,Category:2014 establishments in Uttar Pradesh,False
